County,Democratic,Republic,Liberation,In labor force,Unemployed,Armed Forces,Not in labor force,Percent Unemployed,MgmtArts,Service,SalesOffice,NatResources,Production,Agriculture,Construction,Manufacturing,Retail,Transport,Finance,Professional,Education,Arts,OtherServices,PublicAdmin,Private wage and salary workers,Government workers,Self-employed in own not incorporated business workers,"Less than $10,000","Less than $10,000","$10,000 to $14,999","$10,000 to $14,999","$15,000 to $24,999","$15,000 to $24,999","$25,000 to $34,999","$25,000 to $34,999","$35,000 to $49,999","$35,000 to $49,999","$50,000 to $74,999","$50,000 to $74,999","$75,000 to $99,999","$75,000 to $99,999","$100,000 to $149,999","$100,000 to $149,999","$150,000 to $199,999","$150,000 to $199,999","$200,000 or more","$200,000 or more"
Aleutians East Borough,0.43,0.53,0.02,93.10%,2.90%,0.10%,6.90%,3.10%,8.90%,6.00%,5.30%,12.90%,66.90%,3.30%,1.20%,79.10%,2.10%,1.70%,0.20%,0.90%,4.10%,1.40%,0.80%,3.00%,89.60%,7.40%,3.00%,3.00%,2.90%,2.80%,0.00%,12.20%,10.50%,9.90%,8.40%,11.90%,13.00%,24.10%,24.30%,14.50%,13.40%,10.90%,13.40%,7.10%,10.90%,3.60%,3.30%
Aleutians West Census Area,0.63,0.34,0.02,86.90%,3.00%,1.50%,13.10%,3.60%,15.60%,11.40%,14.30%,12.00%,46.70%,2.10%,4.70%,51.80%,5.20%,8.90%,2.30%,3.30%,7.00%,3.60%,3.20%,5.60%,83.40%,14.70%,1.90%,4.00%,2.80%,2.20%,0.20%,7.10%,5.40%,7.20%,6.40%,11.50%,10.40%,15.20%,17.40%,18.60%,19.20%,19.70%,18.70%,10.60%,14.30%,3.90%,5.40%
Anchorage Municipality,0.43,0.53,0.02,74.60%,5.10%,4.00%,25.40%,7.30%,38.90%,17.50%,25.30%,9.20%,9.10%,3.70%,7.00%,2.00%,11.30%,7.70%,5.60%,10.70%,22.10%,9.50%,4.30%,11.00%,71.80%,21.80%,6.30%,2.80%,2.20%,2.90%,1.60%,5.90%,4.20%,7.40%,6.10%,12.00%,9.40%,17.90%,16.60%,15.60%,17.30%,19.30%,22.10%,9.10%,11.50%,7.10%,9.00%
Bethel Census Area,0.71,0.24,0.03,63.40%,11.30%,0.20%,36.60%,17.90%,35.80%,18.30%,24.60%,10.40%,10.90%,1.20%,4.50%,1.10%,12.10%,9.20%,4.30%,2.30%,36.40%,3.50%,3.70%,20.20%,50.70%,47.10%,2.10%,5.90%,4.30%,6.10%,5.20%,10.10%,8.40%,10.40%,11.10%,15.50%,17.20%,17.00%,18.80%,12.90%,12.10%,9.70%,10.20%,7.70%,8.20%,4.70%,4.50%
Bristol Bay Borough,0.35,0.59,0.04,72.10%,5.00%,0.60%,27.90%,6.90%,42.60%,12.10%,21.70%,13.40%,10.20%,3.40%,6.40%,1.10%,10.40%,18.50%,2.80%,5.70%,26.00%,6.60%,1.70%,14.90%,52.30%,38.10%,9.60%,4.30%,3.50%,1.30%,0.40%,4.80%,0.40%,4.50%,1.90%,9.60%,9.70%,20.30%,20.50%,15.20%,19.40%,25.90%,30.20%,9.30%,9.70%,4.80%,4.30%
Denali Borough,0.44,0.51,0.02,75.50%,1.90%,6.10%,24.50%,2.80%,25.10%,23.60%,18.60%,17.10%,15.60%,9.90%,5.30%,5.40%,9.00%,9.10%,0.50%,7.90%,8.30%,31.80%,2.40%,10.00%,67.20%,26.00%,6.40%,2.90%,0.00%,3.80%,0.00%,4.30%,4.90%,5.60%,5.20%,13.50%,14.60%,20.80%,13.10%,17.00%,18.30%,17.20%,26.20%,9.90%,8.90%,5.00%,8.90%
Dillingham Census Area,0.59,0.36,0.03,61.80%,9.00%,0.00%,38.20%,14.50%,41.20%,17.80%,21.70%,9.30%,10.10%,3.00%,3.50%,3.70%,10.10%,10.30%,1.50%,3.90%,36.80%,3.60%,5.90%,15.00%,53.70%,42.90%,3.50%,4.70%,2.30%,3.00%,2.10%,12.20%,8.70%,9.30%,10.70%,13.90%,18.60%,19.50%,15.20%,13.00%,12.40%,12.60%,16.10%,5.20%,6.90%,6.40%,7.00%
Fairbanks North Star Borough,0.36,0.59,0.03,73.30%,4.40%,7.30%,26.70%,6.70%,34.40%,16.00%,24.60%,14.60%,10.30%,3.90%,9.60%,2.60%,12.60%,7.00%,4.30%,7.30%,24.80%,8.50%,4.00%,12.10%,64.50%,30.10%,5.10%,4.10%,2.70%,3.30%,1.30%,7.20%,5.00%,8.70%,7.50%,12.00%,10.00%,19.10%,18.90%,16.10%,17.70%,18.70%,22.90%,6.90%,9.00%,3.80%,5.00%
Haines Borough,0.45,0.48,0.04,72.30%,6.50%,0.00%,27.70%,9.00%,30.70%,22.10%,20.40%,17.00%,9.80%,0.40%,14.60%,4.30%,11.60%,8.40%,3.00%,4.80%,21.50%,19.50%,6.60%,4.80%,64.20%,21.60%,14.10%,3.10%,0.00%,9.00%,1.80%,8.00%,1.30%,3.30%,4.50%,26.50%,32.60%,20.10%,19.80%,13.20%,16.40%,9.30%,15.60%,4.00%,2.50%,3.50%,5.60%
Hoonah-Angoon Census Area,0.59,0.36,0.03,65.40%,8.30%,0.00%,34.60%,12.70%,36.90%,16.40%,19.40%,16.30%,11.00%,9.60%,7.00%,5.40%,11.80%,10.70%,2.40%,4.50%,19.70%,13.10%,1.80%,12.50%,45.60%,40.50%,13.00%,8.10%,5.40%,6.30%,1.80%,12.20%,6.40%,14.50%,14.50%,9.40%,12.00%,17.80%,20.60%,13.40%,11.50%,11.40%,17.10%,4.10%,6.10%,2.70%,4.40%
