,Democratic,Republic,Liberation,In labor force,Unemployed,Armed Forces,Not in labor force,Unemployment Rate,MgmtArts,Service,SalesOffice,NatResources,Production,Agriculture,Construction,Manufacturing,Retail,Transport,Finance,Professional,Education,Arts,OtherServices,PublicAdmin,Private wage and salary workers,Government workers,Self-employed in own not incorporated business workers,"Less than $10,000","Less than $10,000","$10,000 to $14,999","$10,000 to $14,999","$15,000 to $24,999","$15,000 to $24,999","$25,000 to $34,999","$25,000 to $34,999","$35,000 to $49,999","$35,000 to $49,999","$50,000 to $74,999","$50,000 to $74,999","$75,000 to $99,999","$75,000 to $99,999","$100,000 to $149,999","$100,000 to $149,999","$150,000 to $199,999","$150,000 to $199,999","$200,000 or more","$200,000 or more"
Aleutians East Borough,0.32,0.56,0.05,86.50%,2.30%,0.20%,13.50%,2.60%,14.90%,11.40%,8.40%,13.70%,51.60%,8.20%,2.20%,61.40%,2.10%,3.90%,0.60%,1.70%,7.10%,3.20%,1.30%,7.70%,76.20%,17.10%,6.60%,3.40%,4.60%,4.60%,4.80%,10.30%,5.80%,7.20%,6.00%,10.20%,8.20%,21.80%,22.00%,15.60%,17.40%,15.60%,18.60%,7.10%,6.40%,4.20%,6.00%
Aleutians West Census Area,0.57,0.33,0.03,85.60%,0.90%,1.40%,14.40%,1.10%,16.50%,15.10%,16.70%,15.10%,36.60%,1.90%,7.50%,37.20%,8.60%,14.00%,2.00%,3.60%,8.10%,2.50%,2.80%,7.50%,79.50%,17.30%,3.20%,2.50%,2.20%,2.90%,1.60%,4.10%,3.20%,6.20%,5.50%,10.70%,8.90%,15.90%,16.10%,19.20%,20.20%,20.50%,22.40%,9.90%,11.00%,8.20%,9.00%
Anchorage Municipality,0.42,0.47,0.06,73.70%,4.20%,3.40%,26.30%,6.00%,40.20%,17.80%,23.50%,9.10%,9.40%,3.60%,6.40%,2.20%,10.60%,8.00%,4.90%,11.00%,23.00%,10.50%,4.50%,10.50%,73.30%,20.90%,5.60%,2.80%,2.20%,2.70%,1.30%,5.90%,4.40%,6.20%,4.70%,11.10%,8.60%,17.40%,16.40%,14.50%,15.80%,20.60%,23.60%,9.90%,12.00%,8.80%,11.10%
Bethel Census Area,0.55,0.22,0.05,62.00%,11.90%,0.10%,38.00%,19.30%,35.40%,18.80%,24.90%,9.40%,11.50%,0.80%,3.90%,0.40%,11.90%,12.00%,2.90%,3.00%,35.90%,3.40%,3.90%,19.90%,52.10%,46.30%,1.60%,6.60%,6.30%,5.70%,5.10%,12.30%,11.30%,9.40%,9.70%,13.30%,14.60%,19.30%,20.70%,12.70%,11.80%,11.60%,11.50%,6.30%,6.90%,2.70%,2.10%
Bristol Bay Borough,0.3,0.59,0.07,76.70%,4.20%,1.70%,23.30%,5.70%,28.00%,19.70%,22.00%,13.90%,16.50%,9.40%,6.60%,1.90%,6.00%,16.30%,2.60%,5.80%,17.40%,10.50%,2.40%,16.30%,53.30%,37.00%,9.80%,3.60%,2.60%,3.30%,1.70%,6.10%,4.30%,6.70%,3.90%,8.30%,5.20%,16.10%,18.60%,15.00%,13.00%,25.80%,34.60%,10.00%,11.70%,5.00%,4.30%
Denali Borough,0.36,0.53,0.05,77.10%,0.90%,2.30%,22.90%,1.20%,31.90%,29.60%,11.70%,14.90%,11.90%,7.90%,5.30%,0.60%,3.30%,10.10%,1.20%,4.00%,9.60%,46.30%,3.30%,7.20%,69.10%,22.90%,7.10%,5.40%,2.10%,1.70%,0.00%,5.20%,0.50%,4.10%,4.60%,12.20%,7.70%,14.30%,11.30%,16.50%,20.50%,25.90%,30.00%,8.90%,15.90%,5.80%,7.40%
Dillingham Census Area,0.52,0.35,0.06,60.90%,6.90%,0.00%,39.10%,11.20%,41.90%,14.40%,21.60%,11.30%,10.80%,5.00%,2.90%,3.70%,9.90%,8.10%,3.00%,4.10%,36.20%,2.90%,4.20%,18.20%,55.70%,40.80%,3.50%,5.90%,5.60%,4.70%,2.00%,13.20%,9.90%,8.10%,7.90%,13.00%,19.20%,19.80%,17.30%,11.90%,11.90%,13.80%,15.60%,6.30%,6.90%,3.20%,3.70%
Fairbanks North Star Borough,0.33,0.54,0.07,73.80%,5.60%,7.90%,26.20%,8.50%,37.60%,16.90%,22.50%,13.20%,9.80%,2.70%,8.00%,1.90%,13.50%,7.60%,2.80%,7.50%,27.10%,9.00%,4.00%,12.40%,65.70%,29.80%,4.20%,3.10%,2.10%,3.40%,1.40%,6.20%,3.20%,6.70%,5.20%,13.00%,10.20%,18.80%,18.30%,15.90%,17.80%,17.50%,22.00%,9.50%,11.90%,5.90%,8.10%
Haines Borough,0.45,0.41,0.03,66.50%,2.50%,0.00%,33.50%,3.80%,33.50%,19.50%,24.30%,9.50%,13.20%,9.90%,7.40%,2.30%,17.30%,4.30%,3.70%,7.60%,21.50%,13.80%,3.20%,6.20%,65.70%,21.40%,12.00%,4.50%,1.30%,4.40%,0.10%,5.00%,4.60%,19.10%,23.00%,13.20%,13.90%,18.40%,17.20%,11.60%,17.30%,14.00%,17.20%,3.00%,1.30%,6.70%,4.00%
Hoonah-Angoon Census Area,0.53,0.32,0.06,66.80%,6.80%,0.30%,33.20%,10.20%,33.20%,17.60%,18.50%,19.60%,11.20%,12.40%,7.10%,8.40%,8.00%,10.10%,1.90%,5.20%,13.90%,15.80%,2.90%,9.60%,58.10%,27.90%,14.00%,4.30%,1.70%,2.20%,2.20%,14.00%,10.00%,11.80%,6.90%,12.20%,13.50%,20.20%,20.40%,15.20%,16.70%,10.90%,16.10%,8.10%,11.10%,1.10%,1.50%
Juneau City and Borough,0.53,0.35,0.06,72.70%,3.60%,0.60%,27.30%,4.90%,45.40%,15.40%,21.40%,10.40%,7.40%,4.20%,6.20%,1.60%,8.60%,8.20%,3.60%,7.40%,22.20%,7.40%,4.40%,22.40%,53.50%,38.40%,7.90%,3.00%,2.20%,2.10%,1.40%,3.90%,1.90%,4.40%,2.80%,9.20%,5.50%,18.20%,16.10%,17.20%,17.50%,25.20%,31.60%,9.10%,12.10%,7.80%,8.90%
Kenai Peninsula Borough,0.26,0.63,0.05,61.50%,5.30%,0.10%,38.50%,8.70%,31.20%,19.20%,21.30%,16.00%,12.40%,12.50%,8.00%,4.20%,11.30%,6.50%,3.70%,6.30%,24.20%,9.70%,4.70%,6.80%,71.00%,19.00%,9.40%,4.70%,3.00%,4.60%,1.60%,8.80%,4.90%,8.30%,6.90%,10.90%,9.80%,19.50%,19.40%,14.00%,17.10%,17.40%,22.60%,6.90%,9.00%,4.90%,5.80%
Ketchikan Gateway Borough,0.31,0.55,0.08,69.30%,5.10%,1.70%,30.70%,7.60%,30.10%,16.80%,27.20%,12.30%,13.60%,4.10%,7.90%,3.90%,15.30%,11.70%,5.10%,4.60%,21.40%,7.40%,4.40%,10.30%,65.10%,26.30%,7.70%,3.20%,2.70%,4.70%,2.40%,8.10%,4.60%,10.40%,7.10%,12.00%,12.40%,18.40%,16.70%,14.60%,16.30%,16.70%,21.10%,6.00%,9.50%,5.90%,7.30%
Kodiak Island Borough,0.34,0.53,0.07,77.40%,2.60%,5.90%,22.60%,3.60%,27.30%,19.90%,19.90%,10.50%,22.40%,7.90%,3.70%,13.60%,9.70%,5.70%,3.70%,6.50%,19.90%,8.30%,4.00%,14.20%,62.00%,27.30%,10.50%,3.00%,1.70%,3.00%,2.30%,8.00%,5.20%,8.90%,6.30%,9.40%,10.80%,18.30%,15.50%,13.50%,15.50%,23.80%,28.00%,7.40%,9.80%,4.70%,4.90%
Kusilvak Census Area,0.39,0.35,0.1,57.60%,15.20%,0.20%,42.40%,26.40%,29.40%,23.00%,22.20%,13.90%,11.60%,1.90%,5.60%,4.40%,12.00%,8.40%,2.10%,2.10%,34.70%,2.30%,2.50%,22.40%,41.40%,57.50%,0.90%,9.90%,9.00%,7.10%,5.70%,13.80%,14.50%,14.50%,15.30%,19.10%,19.40%,17.40%,17.80%,8.60%,8.80%,7.00%,6.90%,2.00%,2.00%,0.50%,0.60%
Lake and Peninsula Borough,0.19,0.71,0.05,67.00%,7.90%,0.00%,33.00%,11.70%,32.80%,20.10%,13.90%,17.50%,15.70%,7.30%,5.50%,8.10%,3.20%,11.70%,1.50%,4.90%,24.40%,7.90%,2.30%,21.70%,42.20%,51.10%,6.00%,7.10%,5.00%,5.30%,5.00%,14.30%,13.40%,11.10%,11.20%,17.30%,16.80%,19.20%,19.60%,12.80%,14.30%,8.80%,10.90%,2.40%,2.50%,1.70%,1.60%
Matanuska-Susitna Borough,0.51,0.28,0.06,63.30%,6.20%,0.70%,36.70%,9.90%,32.90%,17.30%,21.60%,17.90%,10.30%,5.90%,12.20%,2.50%,11.90%,6.80%,3.00%,7.10%,23.20%,8.10%,5.00%,9.70%,70.90%,20.80%,8.10%,4.40%,2.40%,3.80%,1.80%,7.80%,4.80%,7.10%,5.90%,10.60%,9.50%,17.00%,16.80%,15.40%,17.40%,19.80%,24.30%,8.50%,10.50%,5.60%,6.60%
Nome Census Area,0.47,0.35,0.04,64.30%,11.10%,0.70%,35.70%,17.40%,34.00%,23.50%,22.50%,10.70%,9.30%,4.20%,3.80%,3.30%,8.80%,8.60%,2.40%,2.20%,36.90%,6.50%,4.80%,17.60%,50.90%,43.60%,5.20%,7.80%,8.60%,4.40%,3.10%,10.30%,9.00%,12.20%,12.90%,13.80%,15.20%,16.10%,15.90%,13.30%,14.20%,12.90%,11.70%,5.70%,6.00%,3.40%,3.40%
