County,In labor force,Unemployed,Armed Forces,Not in labor force,Unemployment Rate,MgmtArts,Service,SalesOffice,NatResources,Production,Agriculture,Construction,Manufacturing,Retail,Transport,Finance,Professional,Education,Arts,OtherServices,PublicAdmin,Private wage and salary workers,Government workers,Self-employed in own not incorporated business workers,"Less than $10,000","Less than $10,000","$10,000 to $14,999","$10,000 to $14,999","$15,000 to $24,999","$15,000 to $24,999","$25,000 to $34,999","$25,000 to $34,999","$35,000 to $49,999","$35,000 to $49,999","$50,000 to $74,999","$50,000 to $74,999","$75,000 to $99,999","$75,000 to $99,999","$100,000 to $149,999","$100,000 to $149,999","$150,000 to $199,999","$150,000 to $199,999","$200,000 or more","$200,000 or more"
Aleutians East Borough,80.30%,2.90%,0.10%,19.70%,3.60%,23.60%,13.30%,12.80%,13.50%,36.80%,9.80%,1.30%,47.40%,3.40%,5.00%,1.50%,1.80%,10.80%,3.50%,1.00%,14.00%,65.70%,25.70%,8.40%,3.30%,3.40%,3.10%,2.00%,9.70%,9.90%,7.80%,6.40%,10.20%,9.10%,15.20%,12.30%,12.10%,14.50%,28.70%,31.40%,5.40%,5.20%,4.40%,5.70%
Aleutians West Census Area,84.10%,3.30%,1.10%,15.90%,4.00%,17.90%,19.40%,14.70%,13.80%,34.20%,1.30%,6.60%,31.60%,9.00%,17.70%,1.40%,3.20%,7.20%,5.20%,2.40%,10.90%,77.40%,19.70%,2.80%,1.20%,1.20%,1.30%,0.50%,2.50%,1.40%,4.10%,3.70%,7.00%,7.40%,21.40%,21.30%,21.90%,19.50%,21.70%,25.00%,9.60%,9.90%,9.30%,10.10%
Anchorage Municipality,71.20%,3.50%,3.90%,28.80%,5.20%,41.50%,17.20%,21.80%,8.50%,11.00%,2.50%,5.20%,2.40%,10.90%,9.80%,4.70%,10.60%,24.10%,10.10%,5.00%,10.40%,72.10%,22.30%,5.50%,3.00%,1.80%,2.30%,1.50%,4.90%,3.20%,6.30%,5.00%,9.20%,7.20%,18.20%,16.60%,14.30%,14.20%,20.20%,23.30%,10.80%,13.60%,10.80%,13.60%
Bethel Census Area,62.10%,10.80%,0.10%,37.90%,17.50%,34.00%,19.40%,26.50%,7.60%,12.60%,2.10%,4.10%,1.50%,10.80%,10.10%,1.70%,6.50%,30.20%,5.20%,3.20%,22.80%,49.00%,47.70%,2.90%,8.30%,7.70%,6.20%,4.60%,10.20%,9.40%,9.40%,10.60%,11.60%,12.90%,16.40%,16.90%,12.10%,10.70%,14.70%,16.70%,5.50%,4.70%,5.70%,5.80%
Bristol Bay Borough,74.40%,2.80%,2.10%,25.60%,3.80%,31.80%,19.60%,19.90%,12.90%,15.90%,7.20%,4.20%,1.60%,4.20%,13.60%,4.90%,11.40%,17.80%,10.50%,1.90%,19.60%,52.60%,38.60%,8.90%,2.10%,1.10%,0.70%,0.00%,7.70%,1.70%,6.00%,4.50%,8.50%,7.30%,19.00%,20.20%,16.90%,18.50%,22.50%,26.40%,7.00%,9.00%,9.50%,11.20%
Chugach Census Area,71.50%,2.00%,1.50%,28.50%,2.80%,32.70%,9.40%,19.60%,22.20%,16.00%,14.20%,2.80%,5.80%,12.80%,9.80%,1.60%,11.40%,14.10%,5.40%,4.30%,12.10%,67.90%,23.00%,8.60%,2.70%,4.00%,0.90%,0.00%,2.80%,1.20%,9.00%,3.60%,12.00%,8.20%,14.50%,16.70%,19.90%,21.10%,21.10%,23.70%,7.70%,10.50%,9.40%,11.00%
Copper River Census Area,60.40%,3.40%,0.70%,39.60%,5.60%,42.90%,18.90%,18.60%,14.10%,5.40%,2.40%,10.40%,4.40%,11.00%,6.80%,1.30%,3.90%,28.50%,6.10%,4.00%,14.70%,51.30%,42.80%,6.00%,4.10%,3.80%,8.80%,1.00%,6.80%,3.10%,5.80%,5.80%,9.50%,7.30%,21.50%,21.60%,7.70%,10.00%,22.00%,27.40%,5.60%,8.30%,8.10%,11.70%
Denali Borough,77.60%,2.70%,3.00%,22.40%,3.70%,17.10%,35.80%,23.90%,10.70%,12.40%,6.60%,4.50%,1.90%,8.50%,29.90%,1.00%,2.90%,5.50%,31.70%,0.50%,5.50%,77.70%,17.10%,4.40%,3.70%,2.10%,2.80%,0.00%,12.50%,0.30%,4.30%,1.50%,11.60%,5.40%,13.50%,11.10%,14.90%,15.30%,22.30%,33.90%,8.70%,19.20%,5.80%,11.10%
Dillingham Census Area,62.10%,7.20%,0.00%,37.90%,11.60%,44.30%,17.20%,16.40%,11.00%,11.10%,8.60%,2.60%,0.30%,13.30%,7.30%,1.50%,3.50%,39.70%,2.70%,3.70%,15.50%,58.40%,38.60%,3.10%,5.10%,5.90%,4.50%,4.00%,10.70%,9.30%,10.50%,10.40%,13.80%,15.00%,18.00%,17.20%,14.30%,14.80%,13.30%,13.50%,7.30%,7.20%,2.40%,2.70%
Fairbanks North Star Borough,71.10%,4.40%,9.00%,28.90%,7.10%,37.20%,17.50%,21.00%,12.90%,11.40%,3.80%,8.40%,1.30%,10.40%,8.00%,4.40%,7.30%,26.90%,8.90%,4.80%,11.60%,64.50%,28.20%,7.10%,3.00%,1.50%,2.30%,0.80%,5.00%,2.30%,6.90%,6.50%,11.60%,10.00%,19.80%,21.00%,14.40%,13.80%,19.30%,23.50%,9.30%,10.70%,8.40%,10.10%
Haines Borough,59.00%,5.30%,0.00%,41.00%,9.00%,33.80%,18.40%,23.30%,19.30%,5.20%,3.20%,19.70%,4.80%,10.60%,4.60%,0.40%,3.20%,16.60%,16.20%,5.00%,11.10%,58.60%,21.20%,20.20%,4.30%,1.30%,5.00%,11.10%,11.70%,8.40%,5.60%,3.00%,12.60%,3.90%,21.60%,14.40%,8.90%,14.80%,21.60%,35.80%,3.90%,3.20%,4.80%,3.90%
Hoonah-Angoon Census Area,63.00%,6.80%,0.10%,37.00%,10.80%,37.00%,23.70%,16.30%,13.20%,9.90%,13.50%,6.80%,5.60%,6.40%,8.10%,1.40%,3.60%,18.30%,14.50%,1.80%,17.00%,51.40%,36.80%,11.70%,4.80%,2.10%,6.60%,1.60%,10.20%,8.00%,5.60%,5.30%,15.00%,14.00%,20.00%,20.10%,12.20%,19.70%,13.00%,14.60%,8.10%,9.20%,4.60%,5.50%
Juneau City and Borough,67.80%,2.90%,1.80%,32.20%,4.40%,45.90%,13.50%,18.90%,11.00%,10.70%,4.90%,7.10%,2.90%,6.90%,7.60%,3.30%,6.00%,23.20%,7.70%,2.90%,24.10%,50.30%,40.90%,8.50%,3.40%,2.50%,2.90%,0.70%,4.70%,2.10%,4.00%,2.20%,7.70%,4.80%,18.70%,14.60%,17.20%,19.00%,20.60%,24.80%,10.80%,14.50%,10.00%,14.80%
Kenai Peninsula Borough,57.20%,4.60%,0.30%,42.80%,8.00%,38.40%,19.30%,17.10%,13.20%,11.90%,7.80%,8.20%,3.70%,10.50%,6.90%,3.40%,5.90%,26.80%,9.90%,4.40%,9.50%,69.80%,20.90%,8.80%,4.90%,2.60%,3.90%,1.50%,8.90%,4.70%,6.60%,4.50%,11.10%,9.50%,18.60%,17.70%,13.80%,16.10%,16.50%,23.10%,8.40%,10.90%,7.20%,9.30%
Ketchikan Gateway Borough,68.70%,3.70%,1.70%,31.30%,5.60%,30.80%,20.80%,22.90%,12.20%,13.30%,4.30%,6.20%,5.00%,12.70%,11.30%,5.00%,6.70%,22.60%,9.60%,3.50%,9.70%,66.00%,25.40%,8.30%,3.20%,2.40%,3.50%,1.80%,7.00%,3.60%,7.90%,5.50%,11.80%,9.00%,16.90%,17.00%,13.10%,13.40%,18.80%,24.20%,10.70%,14.70%,7.20%,8.40%
Kodiak Island Borough,73.10%,4.10%,7.40%,26.90%,6.20%,28.30%,15.40%,19.10%,14.60%,22.60%,6.70%,4.70%,21.90%,10.10%,6.10%,0.70%,9.30%,20.50%,4.70%,3.50%,9.80%,66.30%,25.50%,8.20%,4.10%,3.40%,2.50%,2.20%,6.20%,3.60%,5.20%,4.60%,8.20%,9.20%,21.10%,15.00%,13.30%,15.80%,27.20%,32.00%,7.00%,7.80%,5.20%,6.20%
Kusilvak Census Area,55.30%,12.40%,0.30%,44.70%,22.60%,29.80%,27.20%,19.20%,10.20%,13.50%,5.70%,2.50%,6.90%,10.90%,7.20%,0.60%,2.50%,32.90%,3.40%,2.80%,22.20%,39.40%,59.30%,1.30%,10.30%,11.90%,6.70%,7.00%,15.10%,14.20%,14.90%,15.10%,18.90%,19.50%,15.50%,15.10%,7.60%,6.50%,7.70%,7.90%,2.10%,1.70%,1.10%,1.00%
Lake and Peninsula Borough,70.80%,12.90%,0.00%,29.20%,18.30%,45.60%,19.60%,12.40%,12.80%,9.50%,4.90%,2.30%,5.20%,4.10%,9.50%,1.60%,4.10%,31.70%,6.80%,2.10%,27.80%,33.40%,63.70%,2.70%,4.40%,3.50%,5.70%,3.50%,15.00%,16.90%,11.50%,11.80%,14.20%,11.80%,19.90%,19.20%,13.40%,14.10%,9.60%,12.50%,5.20%,5.50%,1.10%,1.20%
Matanuska-Susitna Borough,59.70%,5.80%,0.80%,40.30%,9.90%,33.10%,19.00%,19.70%,16.40%,11.80%,4.70%,11.50%,2.60%,12.40%,7.10%,3.50%,7.10%,24.50%,8.40%,5.20%,9.10%,71.60%,19.50%,8.60%,5.50%,3.30%,3.50%,1.70%,6.90%,4.30%,7.20%,5.00%,9.70%,8.70%,16.70%,16.30%,13.20%,15.30%,19.60%,23.60%,9.70%,12.50%,8.10%,9.40%
Nome Census Area,65.80%,11.80%,0.80%,34.20%,18.10%,39.80%,21.90%,19.20%,7.70%,11.40%,1.40%,2.70%,3.00%,8.30%,10.00%,1.40%,2.30%,38.90%,6.60%,4.40%,19.30%,51.40%,46.10%,2.30%,5.40%,6.40%,3.30%,2.80%,11.20%,10.30%,8.60%,10.10%,10.70%,10.20%,19.50%,19.70%,14.00%,11.00%,14.60%,14.70%,6.70%,8.40%,6.00%,6.20%
North Slope Borough,79.70%,7.80%,0.10%,20.30%,9.80%,37.40%,15.30%,12.80%,19.70%,14.80%,22.50%,4.70%,10.50%,3.70%,9.70%,1.90%,9.10%,15.90%,5.50%,1.40%,14.40%,65.50%,32.90%,1.50%,5.60%,3.10%,2.10%,3.30%,9.50%,6.30%,4.10%,4.00%,8.70%,13.50%,17.90%,14.40%,13.80%,16.70%,20.40%,18.30%,10.10%,13.40%,7.60%,7.00%
Northwest Arctic Borough,60.90%,9.70%,0.00%,39.10%,16.00%,43.10%,15.30%,15.30%,13.70%,12.70%,6.30%,5.40%,1.50%,6.50%,10.60%,1.40%,3.10%,37.30%,6.00%,3.10%,17.70%,50.00%,47.50%,2.50%,6.90%,7.00%,4.00%,3.10%,8.50%,6.90%,8.10%,9.70%,12.50%,13.00%,17.30%,17.80%,10.30%,9.10%,15.50%,15.60%,10.40%,11.30%,6.60%,6.30%
Petersburg Borough,60.30%,2.60%,0.30%,39.70%,4.30%,23.40%,20.80%,15.10%,17.50%,23.10%,16.90%,5.30%,15.30%,11.80%,4.80%,1.40%,6.30%,18.00%,8.60%,3.10%,4.90%,61.30%,23.90%,14.70%,2.70%,2.20%,2.70%,0.80%,9.60%,3.00%,12.50%,8.90%,8.50%,7.30%,22.00%,26.70%,13.10%,14.90%,13.60%,14.80%,7.00%,9.10%,8.30%,12.30%
Prince of Wales-Hyder Census Area,61.50%,6.00%,0.00%,38.50%,9.70%,34.00%,16.70%,18.40%,15.40%,15.50%,11.10%,5.90%,5.90%,8.90%,8.60%,2.30%,3.70%,24.80%,7.80%,2.80%,15.20%,47.00%,40.90%,11.20%,6.80%,5.30%,4.70%,2.60%,10.60%,8.70%,9.80%,8.50%,15.10%,13.70%,16.40%,18.00%,12.60%,13.60%,15.30%,19.40%,6.20%,7.60%,2.50%,2.60%
Sitka City and Borough,71.20%,3.60%,4.40%,28.80%,5.40%,42.20%,16.40%,19.70%,11.20%,10.60%,7.20%,5.60%,5.00%,12.00%,7.20%,2.90%,4.80%,31.60%,7.30%,3.40%,10.90%,58.70%,30.50%,10.40%,2.70%,1.30%,3.30%,1.40%,6.30%,5.10%,6.50%,2.90%,10.30%,9.10%,17.40%,14.50%,19.00%,20.10%,17.30%,20.80%,10.60%,15.40%,6.40%,9.30%
Skagway Municipality,79.60%,7.90%,0.00%,20.40%,10.00%,27.60%,26.40%,22.60%,10.50%,12.90%,0.10%,6.10%,4.00%,14.10%,15.50%,1.20%,9.60%,10.30%,21.90%,2.90%,13.30%,61.20%,29.40%,8.60%,1.00%,0.50%,0.50%,0.50%,2.20%,3.60%,18.50%,2.60%,10.00%,5.10%,20.00%,24.50%,19.20%,18.40%,20.40%,30.10%,4.90%,8.70%,3.40%,6.10%
Southeast Fairbanks Census Area,59.30%,6.10%,1.50%,40.70%,10.50%,37.50%,18.40%,14.10%,19.40%,10.60%,14.00%,8.80%,3.10%,9.30%,6.00%,3.30%,5.10%,24.90%,5.10%,2.10%,16.70%,49.20%,41.00%,8.40%,4.20%,2.70%,6.80%,3.00%,12.20%,5.60%,6.60%,6.80%,10.40%,9.70%,15.60%,16.50%,13.50%,17.10%,20.30%,24.50%,6.10%,8.20%,4.40%,5.80%
Wrangell City and Borough,55.30%,3.30%,0.00%,44.70%,6.00%,39.90%,14.70%,20.80%,13.90%,10.70%,9.80%,7.10%,5.90%,13.30%,5.50%,2.60%,3.20%,23.50%,6.30%,4.40%,14.30%,51.60%,34.60%,10.50%,3.40%,2.80%,1.80%,0.60%,10.10%,4.80%,9.20%,5.70%,17.20%,17.20%,20.10%,23.30%,10.70%,11.50%,19.90%,24.40%,4.80%,5.70%,2.70%,3.90%
Yakutat City and Borough,70.50%,5.80%,0.00%,29.50%,8.30%,33.70%,23.30%,18.30%,13.00%,11.70%,14.70%,2.70%,5.00%,9.00%,9.30%,0.30%,1.00%,16.70%,5.30%,1.30%,30.70%,33.00%,55.30%,11.70%,2.70%,0.00%,1.40%,0.70%,6.30%,1.40%,5.40%,29.20%,10.90%,12.50%,36.70%,13.90%,14.00%,14.60%,16.30%,21.50%,5.40%,4.90%,0.90%,1.40%
Yukon-Koyukuk Census Area,66.50%,9.90%,0.60%,33.50%,15.00%,34.60%,17.30%,21.10%,14.30%,12.70%,6.80%,5.30%,3.80%,8.40%,11.20%,0.40%,2.90%,26.70%,4.30%,4.70%,23.70%,41.50%,54.40%,3.60%,12.50%,7.00%,6.70%,5.00%,14.00%,10.90%,11.30%,10.20%,13.00%,12.20%,17.60%,21.00%,10.90%,13.60%,7.00%,10.40%,5.00%,6.70%,2.00%,2.90%
