County,Democratic,Republic,Liberation,In labor force,Percent Unemployed,MgmtArts,Service,SalesOffice,NatResources,Production,Agriculture,Construction,Manufacturing,Retail,Transport,Finance,Professional,Education,Arts,OtherServices,PublicAdmin
Aleutians East Borough,0.43,0.53,0.02,0.93,0.03,0.09,0.06,0.05,0.13,0.67,0.03,0.01,0.79,0.02,0.02,0,0.01,0.04,0.01,0.01,0.03
Aleutians West Census Area,0.63,0.34,0.02,0.87,0.04,0.16,0.11,0.14,0.12,0.47,0.02,0.05,0.52,0.05,0.09,0.02,0.03,0.07,0.04,0.03,0.06
Anchorage Municipality,0.43,0.53,0.02,0.75,0.07,0.39,0.18,0.25,0.09,0.09,0.04,0.07,0.02,0.11,0.08,0.06,0.11,0.22,0.1,0.04,0.11
Bethel Census Area,0.71,0.24,0.03,0.63,0.18,0.36,0.18,0.25,0.1,0.11,0.01,0.05,0.01,0.12,0.09,0.04,0.02,0.36,0.04,0.04,0.2
Bristol Bay Borough,0.35,0.59,0.04,0.72,0.07,0.43,0.12,0.22,0.13,0.1,0.03,0.06,0.01,0.1,0.19,0.03,0.06,0.26,0.07,0.02,0.15
Denali Borough,0.44,0.51,0.02,0.76,0.03,0.25,0.24,0.19,0.17,0.16,0.1,0.05,0.05,0.09,0.09,0.01,0.08,0.08,0.32,0.02,0.1
Dillingham Census Area,0.59,0.36,0.03,0.62,0.15,0.41,0.18,0.22,0.09,0.1,0.03,0.04,0.04,0.1,0.1,0.02,0.04,0.37,0.04,0.06,0.15
Fairbanks North Star Borough,0.36,0.59,0.03,0.73,0.07,0.34,0.16,0.25,0.15,0.1,0.04,0.1,0.03,0.13,0.07,0.04,0.07,0.25,0.09,0.04,0.12
Haines Borough,0.45,0.48,0.04,0.72,0.09,0.31,0.22,0.2,0.17,0.1,0,0.15,0.04,0.12,0.08,0.03,0.05,0.22,0.2,0.07,0.05
Hoonah-Angoon Census Area,0.59,0.36,0.03,0.65,0.13,0.37,0.16,0.19,0.16,0.11,0.1,0.07,0.05,0.12,0.11,0.02,0.05,0.2,0.13,0.02,0.13
Juneau City and Borough,0.57,0.38,0.03,0.73,0.05,0.45,0.15,0.23,0.1,0.07,0.05,0.07,0.01,0.09,0.08,0.03,0.08,0.21,0.08,0.04,0.24
Kenai Peninsula Borough,0.3,0.66,0.02,0.63,0.09,0.3,0.2,0.22,0.17,0.11,0.12,0.08,0.04,0.12,0.07,0.03,0.06,0.22,0.1,0.04,0.07
Ketchikan Gateway Borough,0.38,0.55,0.04,0.72,0.08,0.31,0.17,0.24,0.14,0.14,0.03,0.11,0.05,0.14,0.1,0.06,0.03,0.2,0.07,0.04,0.14
Kodiak Island Borough,0.39,0.57,0.02,0.77,0.06,0.26,0.17,0.27,0.1,0.2,0.05,0.06,0.11,0.15,0.08,0.05,0.05,0.21,0.05,0.03,0.13
